dep;Somme_detenu_etrangers;Somme_detenu_fr;Somme_Nombre_detenus;perc_theo_etr;perc_theo_fr;eff_theo_etr;eff_theo_fr;chi²_partiel_etr;chi²_partiel_fr;residu_pearson_etr;residu_pearson_fr;taux_etr_det
Haute-Loire;9;73;82;0,000408022055626571;0,00112780293524276;21,7849095829861;60,2150904170139;7,50307970856972;2,71450083215261;-2,73917500510094;1,64757422659879;0,109756097560976
Haute-Marne;14;95;109;0,00054237078125971;0,00149915268221294;28,9579895676278;80,0420104323722;7,72641523966095;2,7953002516635;-2,77964300579426;1,67191514487533;0,128440366972477
Haute-Saône;8;71;79;0,000393094419445111;0,00108654185224608;20,9879006958036;58,0120993041964;8,03727666377724;2,9077652163478;-2,83500911176265;1,70521705842623;0,10126582278481
Haute-Savoie;87;207;294;0,00146290834578307;0,00404358613367527;78,1068709438768;215,893129056123;1,01255809448173;0,366328214124419;1,00625945684089;-0,605250538309896;0,295918367346939
Haute-Vienne;28;125;153;0,000761309445254455;0,00210431523283101;40,6474532463032;112,352546753697;3,93525450778332;1,42371560092974;-1,98374759175237;1,19319554178255;0,183006535947712
Hautes-Alpes;7;36;43;0,000213962785267592;0,000591408856285839;11,4237940496146;31,5762059503854;1,71308706270541;0,619769006579052;-1,3088495187398;0,787254092767419;0,162790697674419
Hautes-Pyrénées;19;134;153;0,000761309445254455;0,00210431523283101;40,6474532463032;112,352546753697;11,5286984700205;4,17090885423535;-3,39539371355083;2,04228030745913;0,124183006535948
Hauts-de-Seine;379;769;1148;0,00571230877877199;0,0157892410933987;304,988734161805;843,011265838195;17,9602288787033;6,49773934577925;4,23795102363197;-2,54906636747246;0,3301393728223
Hérault;380;1425;1805;0,00898146110251171;0,024825418269673;479,533680454754;1325,46631954525;20,659557292147;7,47431556636467;-4,54527857145708;2,73391945133076;0,210526315789474
Ille-et-Vilaine;188;695;883;0,00439370091607637;0,012144512095358;234,586282460691;648,413717539309;9,25152865181271;3,34706323262778;-3,04163256357712;1,82949808216018;0,212910532276331
Indre;19;134;153;0,000761309445254455;0,00210431523283101;40,6474532463032;112,352546753697;11,5286984700205;4,17090885423535;-3,39539371355083;2,04228030745913;0,124183006535948
Indre-et-Loire;66;206;272;0,0013534390137857;0,00374100485836624;72,2621391045391;199,737860895461;0,54266849349516;0,196329258703347;-0,736660365090427;0,443090576184314;0,242647058823529
Isère;189;612;801;0,0039856788604498;0,0110167091601153;212,801372877705;588,198627122295;2,66213203045982;0,963119131432075;-1,63160412798565;0,981386331386409;0,235955056179775
Jura;10;55;65;0,000323432117264965;0,000893990131594873;17,2685258889524;47,7314741110476;3,0594081358253;1,10684762166486;-1,74911638715818;1,05206825903306;0,153846153846154
Landes;128;375;503;0,00250286699975811;0,00691810824911109;133,631823417585;369,368176582415;0,237349414201641;0,0858694306053293;-0,487185194973781;0,29303486244017;0,254473161033797
Loir-et-Cher;35;141;176;0,000875754655978981;0,00242065020247227;46,7578547147018;129,242145285298;2,95666147079598;1,06967543123691;-1,71949453933299;1,03425114514653;0,198863636363636
Loire;101;336;437;0,00217445900376599;0,00601036442318399;116,097627899572;320,902372100428;1,96333355226783;0,710304404115161;-1,40119004859007;0,842795588571251;0,231121281464531
Loire-Atlantique;245,5;678,5;924;0,00459771194388965;0,0127084135629794;245,478737252184;678,521262747816;1,84172547787261E-06;6,6630844085863E-07;0,00135710186716864;-0,000816277183840533;0,265692640692641
Loiret;159;555;714;0,00355277741118746;0,00982013775321137;189,688115149415;524,311884850585;4,96478343243566;1,79618360490178;-2,22817939862024;1,34021774533162;0,222689075630252
Lot-et-Garonne;47;123;170;0,000845899383616061;0,0023381280364789;45,1638369403369;124,836163059663;0,0746503178223114;0,0270073566748434;0,273222103465864;-0,164339151375573;0,276470588235294
Lozère;6;67;73;0,000363239147082191;0,0010040196862527;19,3938829214388;53,6061170785612;9,25013832660081;3,3465602339804;-3,04140400581718;1,82936060796673;0,0821917808219178
Maine-et-Loire;89;402;491;0,00244315645503227;0,00675306391712434;130,443787868856;360,556212131144;13,1672621669459;4,76371643346964;-3,62867223195288;2,18259396898957;0,181262729124236
